CourseID ,CourseName                                     ,CourseDescription                                                                                                                                                               ,CreationDate ,Author             ,Image        ,Quiz
      91 ,Customizable uniform open system               ,Option expert heavy billion several identify. Half try method. Carry peace clear agent director surface.                                                                        ,2024-04-30   ,Hector White       ,image_8.jpg  ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      92 ,Monitored foreground data-warehouse            ,Certain president brother mention finish degree recognize game. Woman clear among probably lead begin national.                                                                 ,2024-09-24   ,Drew Bond          ,image_13.jpg ,
      93 ,Multi-layered bottom-line moderator            ,"Reason benefit everything year even game.
                                                          Blue board however today. Long start direction energy picture thousand. Sit south show doctor sit."                                                                             ,2021-12-02   ,Wyatt Caldwell     ,image_26.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      94 ,Distributed transitional migration             ,"Program page make talk page. Cold bank test each size push. Machine build TV agency.
                                                          Security out good tend majority my. Least various exactly business."                                                                                                            ,2022-08-28   ,Bryan Watson       ,image_63.jpg ,
      95 ,Universal solution-oriented concept            ,Increase ask music difference easy whole defense federal.                                                                                                                       ,2023-07-12   ,Jacqueline Edwards ,image_58.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      96 ,Synergistic systematic monitoring              ,Mouth without night teach heart. Yes fund field model fill work. Like leg choice forward hand hit.                                                                              ,2022-07-21   ,Bobby Nunez        ,image_63.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      97 ,Synergized fresh-thinking collaboration        ,Keep shoulder arrive fish water. Small gas feel very movie himself. Play into town what billion.                                                                                ,2022-07-14   ,Ronald Yates       ,image_23.jpg ,
      98 ,Reduced fault-tolerant collaboration           ,"Cause page floor truth. City vote close mind worker. Seem degree medical choice throw.
                                                          Focus pick money lose own. Gun first else red expect billion age."                                                                                                              ,2022-05-21   ,Bobby Nunez        ,image_72.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      99 ,Assimilated optimal initiative                 ,"Structure career water believe respond produce interest. Mrs positive radio amount about investment little. Theory far table behavior commercial point.
                                                          Model if sing."                                                                                                                                                                 ,2024-03-05   ,Timothy Howell     ,image_18.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
     100 ,Profound leadingedge capacity                  ,For science relate become light. Eye home improve sound specific data tell. Child while director detail amount movement tree.                                                   ,2022-08-23   ,Jacqueline Jensen  ,image_31.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
